source,airfoil,config,Re,alpha,CL,CD,u_cd_span
vol1,A18,clean,40000.0,-1.16,0.117,0.0244,0.0043500000000000014
vol1,A18,clean,40000.0,0.93,0.324,0.0202,0.0049
vol1,A18,clean,40000.0,2.82,0.54,0.0349,0.005500000000000001
vol1,A18,clean,40000.0,5.05,0.842,0.0405,0.00605
vol1,A18,clean,40000.0,7.04,1.007,0.0314,0.007299999999999999
vol1,A18,clean,40000.0,9.08,1.108,0.0283,0.006700000000000001
vol1,A18,clean,40000.0,11.1,1.155,0.0572,0.011200000000000005
vol1,A18,clean,60700.0,-2.07,0.027,0.0229,0.00115
vol1,A18,clean,60700.0,-0.17,0.216,0.0182,0.0019000000000000006
vol1,A18,clean,60700.0,1.14,0.407,0.0201,0.00445
vol1,A18,clean,60700.0,2.44,0.591,0.0214,0.0062499999999999995
vol1,A18,clean,60700.0,4.17,0.81,0.0231,0.0023499999999999997
vol1,A18,clean,60700.0,6.02,0.967,0.0207,0.0050999999999999995
vol1,A18,clean,60700.0,7.62,1.057,0.0243,0.0069
vol1,A18,clean,60700.0,9.15,1.141,0.0318,0.0071
vol1,A18,clean,60700.0,10.41,1.186,0.0395,0.0081
vol1,A18,clean,100700.0,-1.53,0.084,0.0183,0.0020999999999999994
vol1,A18,clean,100700.0,-0.37,0.266,0.0141,0.0006000000000000007
vol1,A18,clean,100700.0,1.1,0.468,0.0147,0.0014500000000000008
vol1,A18,clean,100700.0,2.82,0.653,0.0161,0.0014500000000000008
vol1,A18,clean,100700.0,4.38,0.787,0.0153,0.00145
vol1,A18,clean,100700.0,5.94,0.92,0.0165,0.0006499999999999995
vol1,A18,clean,100700.0,7.6,1.024,0.024,0.0012500000000000011
vol1,A18,clean,100700.0,9.01,1.105,0.03,0.00145
vol1,A18,clean,100700.0,10.18,1.145,0.0366,0.004799999999999999
vol1,A18,clean,201800.0,-1.55,0.199,0.0126,0.0013500000000000005
vol1,A18,clean,201800.0,0.17,0.385,0.0093,0.0007000000000000001
vol1,A18,clean,201800.0,1.53,0.525,0.0089,0.0012000000000000005
vol1,A18,clean,201800.0,2.93,0.673,0.01,0.0013
vol1,A18,clean,201800.0,4.38,0.809,0.0117,0.0013
vol1,A18,clean,201800.0,5.59,0.906,0.014,0.0015499999999999993
vol1,A18,clean,201800.0,7.5,1.045,0.0196,0.0007499999999999989
vol1,A18,clean,201800.0,8.93,1.135,0.0249,0.0009500000000000012
vol1,A18,clean,201800.0,10.22,1.191,0.0316,0.0017499999999999998
vol1,A18,clean,204500.0,-5.29,-0.375,0.0685,0.0028499999999999984
vol1,A18,clean,204500.0,-3.39,-0.093,0.0178,0.0008000000000000004
vol1,A18,clean,300400.0,-2.37,0.122,0.0108,0.0005999999999999998
vol1,A18,clean,300400.0,-0.45,0.327,0.01,0.0006500000000000004
vol1,A18,clean,300400.0,0.94,0.474,0.008,9.99999999999994e-05
vol1,A18,clean,300400.0,2.39,0.622,0.0082,0.0005500000000000001
vol1,A18,clean,300400.0,4.28,0.792,0.0099,0.0013
vol1,A18,clean,300400.0,5.81,0.914,0.0139,0.0006500000000000004
vol1,A18,clean,300400.0,7.94,1.077,0.0194,0.0005500000000000001
vol1,A18,clean,300400.0,9.31,1.156,0.0234,0.0008000000000000004
vol1,A18,clean,300400.0,10.27,1.192,0.0295,0.0017000000000000001
vol1,A18,clean,305600.0,-5.35,-0.332,0.0623,0.010099999999999998
vol1,A18,clean,305600.0,-3.58,-0.057,0.0137,0.0009499999999999995
vol1,BE50,clean,60300.0,-1.74,0.032,0.0206,0.0019500000000000003
vol1,BE50,clean,60300.0,-0.12,0.188,0.0158,0.0017499999999999998
vol1,BE50,clean,60300.0,1.36,0.436,0.014,0.002
vol1,BE50,clean,60300.0,2.99,0.619,0.018,0.0023499999999999997
vol1,BE50,clean,60300.0,4.52,0.762,0.0227,0.00865
vol1,BE50,clean,60300.0,5.79,0.868,0.0189,0.0008500000000000001
vol1,BE50,clean,60300.0,7.47,1.001,0.0276,0.007600000000000001
vol1,BE50,clean,60300.0,9.05,1.12,0.029,0.0025000000000000005
vol1,BE50,clean,60300.0,10.53,1.207,0.0347,0.003300000000000001
vol1,BE50,clean,101000.0,-3.48,-0.129,0.0272,0.0026
vol1,BE50,clean,101000.0,-1.75,0.019,0.0174,0.0005500000000000001
vol1,BE50,clean,101000.0,-0.28,0.235,0.0125,0.0017499999999999998
vol1,BE50,clean,101000.0,1.42,0.462,0.0123,0.0011999999999999997
vol1,BE50,clean,101000.0,3.46,0.653,0.0146,0.0011000000000000003
vol1,BE50,clean,101000.0,4.3,0.73,0.0159,0.00115
vol1,BE50,clean,101000.0,5.99,0.879,0.0193,0.0013500000000000005
vol1,BE50,clean,101000.0,7.32,0.995,0.0225,0.0009999999999999992
vol1,BE50,clean,101000.0,9.23,1.146,0.0271,0.0010499999999999989
vol1,BE50,clean,101000.0,10.39,1.199,0.033,0.0025000000000000005
vol1,BE50,clean,201700.0,-5.41,-0.365,0.0707,0.0045499999999999985
vol1,BE50,clean,201700.0,-3.12,-0.09,0.0186,0.0020999999999999994
vol1,BE50,clean,201700.0,-1.73,0.1,0.0124,0.0015000000000000005
vol1,BE50,clean,201700.0,-0.44,0.244,0.0099,0.0015999999999999999
vol1,BE50,clean,201700.0,1.28,0.434,0.0087,0.0006500000000000004
vol1,BE50,clean,201700.0,2.81,0.589,0.0098,0.0006499999999999995
vol1,BE50,clean,201700.0,4.38,0.739,0.012,0.0007999999999999995
vol1,BE50,clean,201700.0,5.72,0.865,0.0147,0.0013000000000000008
vol1,BE50,clean,201700.0,7.57,1.031,0.0174,0.00045000000000000075
vol1,BE50,clean,201700.0,8.84,1.13,0.0204,0.0008999999999999998
vol1,BE50,clean,201700.0,10.39,1.209,0.0301,0.001400000000000002
vol1,BE50,clean,302700.0,-5.1,-0.32,0.0618,0.0035499999999999976
vol1,BE50,clean,302700.0,-3.45,-0.088,0.017,0.0019000000000000006
vol1,BE50,clean,302700.0,-2.18,0.068,0.0117,0.0012500000000000002
vol1,BE50,clean,302700.0,-0.34,0.261,0.0091,0.0009500000000000003
vol1,BE50,clean,302700.0,1.24,0.427,0.0076,0.0005500000000000001
vol1,BE50,clean,302700.0,2.9,0.595,0.0087,0.00010000000000000026
vol1,BE50,clean,302700.0,4.34,0.736,0.0105,0.0007000000000000001
vol1,BE50,clean,302700.0,6.22,0.924,0.0133,0.0007499999999999998
vol1,BE50,clean,302700.0,7.75,1.061,0.0158,0.0006500000000000004
vol1,BE50,clean,302700.0,9.19,1.158,0.0204,0.0014000000000000002
vol1,BE50,clean,302700.0,10.5,1.222,0.0276,0.0015499999999999993
vol1,CH 10-48-13,modified,199600.0,1.32,0.957,0.0185,0.0013000000000000008
vol1,CH 10-48-13,modified,199600.0,2.32,1.052,0.0179,0.0008999999999999998
vol1,CH 10-48-13,modified,199600.0,3.43,1.155,0.0174,0.0011000000000000003
vol1,CH 10-48-13,modified,199600.0,5.19,1.306,0.0186,0.0008999999999999998
vol1,CH 10-48-13,modified,199600.0,7.29,1.502,0.0212,0.0006999999999999992
vol1,CH 10-48-13,modified,199600.0,9.56,1.696,0.0252,0.0009499999999999995
vol1,CH 10-48-13,modified,199600.0,11.71,1.872,0.031,0.0013499999999999988
vol1,CH 10-48-13,modified,202500.0,-2.08,0.328,0.0518,0.0019999999999999983
vol1,CH 10-48-13,modified,202500.0,-0.47,0.697,0.0281,0.00285
vol1,E374 (B),clean,61200.0,-6.39,-0.426,0.0342,0.005349999999999999
vol1,E374 (B),clean,61200.0,-5.3,-0.372,0.0289,0.0017999999999999995
vol1,E374 (B),clean,61200.0,-4.27,-0.314,0.0224,0.0017999999999999995
vol1,E374 (B),clean,61200.0,-3.27,-0.23,0.0166,0.0021999999999999997
vol1,E374 (B),clean,61200.0,-2.31,-0.155,0.0166,0.00345
vol1,E374 (B),clean,61200.0,-1.2,-0.015,0.0187,0.004600000000000001
vol1,E374 (B),clean,61200.0,-0.18,0.104,0.0216,0.0035000000000000014
vol1,E374 (B),clean,61200.0,0.9,0.253,0.0253,0.002749999999999999
vol1,E374 (B),clean,61200.0,1.86,0.361,0.0275,0.00285
vol1,E374 (B),clean,61200.0,2.98,0.426,0.0316,0.00515
vol1,E374 (B),clean,61200.0,3.92,0.519,0.0337,0.006500000000000001
vol1,E374 (B),clean,61200.0,4.95,0.669,0.0331,0.0072499999999999995
vol1,E374 (B),clean,61200.0,6.02,0.789,0.0324,0.004900000000000002
vol1,E374 (B),clean,61200.0,7.01,0.887,0.0277,0.003299999999999999
vol1,E374 (B),clean,61200.0,8.0,0.958,0.0266,0.002450000000000001
vol1,E374 (B),clean,61200.0,9.0,0.987,0.029,0.0079
vol1,E374 (B),clean,61200.0,10.01,1.025,0.0364,0.00855
vol1,E374 (B),clean,101600.0,-4.22,-0.295,0.0205,0.0023
vol1,E374 (B),clean,101600.0,-3.31,-0.181,0.0156,0.0005499999999999993
vol1,E374 (B),clean,101600.0,-2.23,-0.012,0.0152,0.004550000000000001
vol1,E374 (B),clean,101600.0,-1.1,0.152,0.0189,0.0025000000000000005
vol1,E374 (B),clean,101600.0,-0.24,0.236,0.02,0.0020499999999999997
vol1,E374 (B),clean,101600.0,0.82,0.312,0.022,0.002
vol1,E374 (B),clean,101600.0,1.84,0.397,0.0249,0.0023
vol1,E374 (B),clean,101600.0,2.84,0.49,0.0268,0.0022500000000000003
vol1,E374 (B),clean,101600.0,4.01,0.608,0.0273,0.0022500000000000003
vol1,E374 (B),clean,101600.0,5.03,0.709,0.0226,0.001850000000000001
vol1,E374 (B),clean,101600.0,5.96,0.804,0.0196,0.0012499999999999994
vol1,E374 (B),clean,101600.0,7.02,0.903,0.0182,0.0006499999999999995
vol1,E374 (B),clean,101600.0,8.02,0.949,0.0241,0.0009499999999999995
vol1,E374 (B),clean,101600.0,8.96,0.977,0.031,0.0023000000000000017
vol1,E374 (B),clean,101600.0,10.02,1.018,0.0413,0.0029499999999999978
vol1,E374 (B),clean,102800.0,-6.37,-0.455,0.0327,0.0014000000000000002
vol1,E374 (B),clean,102800.0,-5.38,-0.412,0.0255,0.0012000000000000014
vol1,E374 (B),clean,102800.0,-4.35,-0.328,0.0205,0.004399999999999999
vol1,E374 (B),clean,152400.0,-6.44,-0.462,0.0296,0.0003499999999999996
vol1,E374 (B),clean,152400.0,-5.26,-0.379,0.0203,0.0014000000000000002
vol1,E374 (B),clean,152400.0,-4.26,-0.234,0.0162,0.0019000000000000006
vol1,E374 (B),clean,152400.0,-3.11,-0.098,0.0125,0.0018999999999999998
vol1,E374 (B),clean,152400.0,-2.22,-0.031,0.0128,0.0021999999999999997
vol1,E374 (B),clean,152400.0,-1.08,0.082,0.0142,0.0021999999999999997
vol1,E374 (B),clean,152400.0,-0.2,0.235,0.0139,0.0007000000000000001
vol1,E374 (B),clean,152400.0,0.85,0.331,0.0145,0.0006500000000000004
vol1,E374 (B),clean,152400.0,1.82,0.416,0.0154,0.0008000000000000004
vol1,E374 (B),clean,152400.0,2.93,0.521,0.0166,0.0011500000000000008
vol1,E374 (B),clean,152400.0,3.96,0.62,0.0168,0.0008500000000000001
vol1,E374 (B),clean,152400.0,4.9,0.712,0.0159,9.99999999999994e-05
vol1,E374 (B),clean,152400.0,5.91,0.809,0.0152,0.0006499999999999995
vol1,E374 (B),clean,152400.0,7.03,0.907,0.0161,0.0006999999999999992
vol1,E374 (B),clean,152400.0,8.05,0.947,0.0244,0.0023000000000000017
vol1,E374 (B),clean,152400.0,9.03,0.987,0.0305,0.0019000000000000006
vol1,E374 (B),clean,152400.0,10.01,1.021,0.0381,0.0018499999999999975
vol1,E374 (B),clean,203000.0,-6.37,-0.436,0.0225,0.00285
vol1,E374 (B),clean,203000.0,-5.32,-0.303,0.0169,0.0017000000000000001
vol1,E374 (B),clean,203000.0,-4.28,-0.176,0.0134,0.0018999999999999998
vol1,E374 (B),clean,203000.0,-3.29,-0.095,0.0115,0.0015000000000000005
vol1,E374 (B),clean,203000.0,-2.28,-0.023,0.0108,0.0017999999999999995
vol1,E374 (B),clean,203000.0,-1.2,0.079,0.0115,0.0006000000000000007
vol1,E374 (B),clean,203000.0,-0.16,0.233,0.011,0.0009500000000000003
vol1,E374 (B),clean,203000.0,0.84,0.334,0.0115,0.00019999999999999966
vol1,E374 (B),clean,203000.0,1.8,0.418,0.0122,0.00014999999999999996
vol1,E374 (B),clean,203000.0,2.84,0.515,0.0127,5.0000000000000565e-05
vol1,E374 (B),clean,203000.0,3.87,0.614,0.013,0.0002999999999999999
vol1,E374 (B),clean,203000.0,5.0,0.726,0.0128,0.0007000000000000001
vol1,E374 (B),clean,203000.0,5.93,0.815,0.0129,0.0011000000000000003
vol1,E374 (B),clean,203000.0,6.92,0.891,0.015,0.0007999999999999995
vol1,E374 (B),clean,203000.0,7.95,0.93,0.0222,0.0014000000000000002
vol1,E374 (B),clean,203000.0,8.97,0.973,0.0278,0.0013000000000000008
vol1,E374 (B),clean,203000.0,9.98,1.009,0.036,0.0023999999999999994
vol1,E374 (B),clean,303300.0,-6.36,-0.405,0.0197,0.001899999999999999
vol1,E374 (B),clean,303300.0,-5.28,-0.282,0.0147,0.0027500000000000007
vol1,E374 (B),clean,303300.0,-4.13,-0.188,0.0127,0.0017999999999999995
vol1,E374 (B),clean,303300.0,-3.06,-0.097,0.0107,0.0013500000000000005
vol1,E374 (B),clean,303300.0,-2.1,-0.013,0.009,0.0010499999999999997
vol1,E374 (B),clean,303300.0,-1.03,0.078,0.0092,0.0010500000000000006
vol1,E374 (B),clean,303300.0,-0.01,0.192,0.0088,0.0017999999999999995
vol1,E374 (B),clean,303300.0,1.04,0.35,0.0094,0.00045000000000000075
vol1,E374 (B),clean,303300.0,2.08,0.45,0.0097,0.00015000000000000083
vol1,E374 (B),clean,303300.0,3.08,0.549,0.0101,0.00010000000000000026
vol1,E374 (B),clean,303300.0,4.08,0.652,0.0103,0.0002999999999999999
vol1,E374 (B),clean,303300.0,5.15,0.758,0.0104,0.0006000000000000007
vol1,E374 (B),clean,303300.0,6.08,0.842,0.0111,0.0008000000000000004
vol1,E374 (B),clean,303300.0,6.95,0.898,0.0151,0.001749999999999999
vol1,E374 (B),clean,303300.0,8.03,0.95,0.0209,0.001299999999999999
vol1,E374 (B),clean,303300.0,9.11,0.998,0.0264,0.0017499999999999998
vol1,E374 (B),clean,303300.0,10.13,1.032,0.0342,0.00315
vol1,E387 (A),clean,61000.0,-5.36,-0.25,0.0427,0.0058499999999999976
vol1,E387 (A),clean,61000.0,-3.71,-0.124,0.0245,0.004
vol1,E387 (A),clean,61000.0,-2.12,0.058,0.0233,0.008700000000000001
vol1,E387 (A),clean,61000.0,-0.68,0.247,0.0228,0.005500000000000001
vol1,E387 (A),clean,61000.0,0.93,0.436,0.0281,0.005299999999999999
vol1,E387 (A),clean,61000.0,2.59,0.61,0.0325,0.005800000000000001
vol1,E387 (A),clean,61000.0,4.18,0.773,0.0371,0.007300000000000001
vol1,E387 (A),clean,61000.0,5.42,0.888,0.0387,0.00825
vol1,E387 (A),clean,61000.0,6.99,1.039,0.0377,0.0051
vol1,E387 (A),clean,61000.0,8.82,1.198,0.0257,0.0014000000000000002
vol1,E387 (A),clean,61000.0,10.15,1.222,0.0393,0.01245
vol1,E387 (A),clean,101000.0,-5.38,-0.289,0.0477,0.008899999999999998
vol1,E387 (A),clean,101000.0,-3.62,-0.066,0.0226,0.0020499999999999997
vol1,E387 (A),clean,101000.0,-2.04,0.144,0.0162,0.0027999999999999995
vol1,E387 (A),clean,101000.0,-0.49,0.307,0.0162,0.0034000000000000002
vol1,E387 (A),clean,101000.0,0.81,0.433,0.0185,0.0032500000000000003
vol1,E387 (A),clean,101000.0,2.46,0.588,0.0207,0.0026499999999999996
vol1,E387 (A),clean,101000.0,3.86,0.722,0.0213,0.002749999999999999
vol1,E387 (A),clean,101000.0,5.61,0.895,0.0209,0.000700000000000001
vol1,E387 (A),clean,101000.0,6.93,1.023,0.0205,0.0014000000000000002
vol1,E387 (A),clean,101000.0,8.7,1.165,0.0226,0.0022000000000000006
vol1,E387 (A),clean,101000.0,10.13,1.192,0.0381,0.006100000000000001
vol1,E387 (A),clean,151600.0,-5.31,-0.291,0.0498,0.006100000000000001
vol1,E387 (A),clean,151600.0,-3.46,-0.029,0.0188,0.0012000000000000014
vol1,E387 (A),clean,151600.0,-2.11,0.101,0.0137,0.0011000000000000003
vol1,E387 (A),clean,151600.0,-0.5,0.254,0.0115,0.0004499999999999999
vol1,E387 (A),clean,151600.0,0.83,0.395,0.0126,0.0002500000000000002
vol1,E387 (A),clean,151600.0,2.54,0.575,0.0147,0.0012499999999999994
vol1,E387 (A),clean,151600.0,4.07,0.733,0.0166,0.0006999999999999992
vol1,E387 (A),clean,151600.0,5.65,0.892,0.0167,0.0005500000000000001
vol1,E387 (A),clean,151600.0,7.06,1.027,0.0167,0.0005500000000000001
vol1,E387 (A),clean,151600.0,8.65,1.142,0.0221,0.000449999999999999
vol1,E387 (A),clean,151600.0,10.04,1.182,0.0348,0.003349999999999999
vol1,E387 (A),clean,202300.0,-4.65,-0.142,0.0236,0.0025000000000000005
vol1,E387 (A),clean,202300.0,-3.35,-0.009,0.0155,0.001
vol1,E387 (A),clean,202300.0,-1.97,0.119,0.0116,0.0005000000000000004
vol1,E387 (A),clean,202300.0,-0.37,0.278,0.01,0.0002999999999999999
vol1,E387 (A),clean,202300.0,1.27,0.452,0.011,0.0003499999999999996
vol1,E387 (A),clean,202300.0,2.67,0.598,0.0122,0.0007500000000000007
vol1,E387 (A),clean,202300.0,4.24,0.763,0.0131,0.0011000000000000003
vol1,E387 (A),clean,202300.0,5.61,0.898,0.0137,0.0008000000000000004
vol1,E387 (A),clean,202300.0,7.25,1.053,0.0148,0.0004999999999999996
vol1,E387 (A),clean,202300.0,8.79,1.145,0.0234,0.0010499999999999989
vol1,E387 (A),clean,202300.0,10.18,1.188,0.0341,0.0026499999999999996
vol1,E387 (A),clean,303000.0,-5.46,-0.231,0.0408,0.004650000000000001
vol1,E387 (A),clean,303000.0,-3.93,-0.075,0.0161,0.0015499999999999993
vol1,E387 (A),clean,303000.0,-2.24,0.083,0.0114,0.0014000000000000002
vol1,E387 (A),clean,303000.0,-0.24,0.286,0.0081,0.0002999999999999999
vol1,E387 (A),clean,303000.0,1.05,0.427,0.0088,0.00014999999999999996
vol1,E387 (A),clean,303000.0,2.53,0.586,0.0094,0.0002999999999999999
vol1,E387 (A),clean,303000.0,4.08,0.751,0.0105,0.0007499999999999998
vol1,E387 (A),clean,303000.0,5.94,0.939,0.0114,0.0007499999999999998
vol1,E387 (A),clean,303000.0,6.95,1.024,0.0127,0.0012000000000000005
vol1,E387 (A),clean,303000.0,8.46,1.119,0.0192,0.0006999999999999992
vol1,E387 (A),clean,303000.0,9.93,1.177,0.0291,0.002199999999999999
vol1,FX 63-137 (B),clean,100800.0,-5.05,-0.019,0.0476,0.0017000000000000001
vol1,FX 63-137 (B),clean,100800.0,-3.74,0.172,0.0373,0.002149999999999999
vol1,FX 63-137 (B),clean,100800.0,-2.86,0.287,0.0351,0.0017000000000000001
vol1,FX 63-137 (B),clean,100800.0,-1.91,0.397,0.0348,0.0013500000000000005
vol1,FX 63-137 (B),clean,100800.0,-0.57,0.495,0.042,0.0013500000000000005
vol1,FX 63-137 (B),clean,100800.0,0.37,0.567,0.0484,0.0020000000000000018
vol1,FX 63-137 (B),clean,100800.0,1.29,0.624,0.051,0.0032000000000000015
vol1,FX 63-137 (B),clean,100800.0,2.27,0.686,0.0557,0.002450000000000001
vol1,FX 63-137 (B),clean,100800.0,3.48,0.786,0.0616,0.0038500000000000027
vol1,FX 63-137 (B),clean,100800.0,4.41,1.026,0.0457,0.005249999999999998
vol1,FX 63-137 (B),clean,100800.0,5.65,1.234,0.0339,0.0035000000000000014
vol1,FX 63-137 (B),clean,100800.0,6.53,1.331,0.0312,0.0020999999999999994
vol1,FX 63-137 (B),clean,100800.0,7.53,1.429,0.0296,0.002449999999999999
vol1,FX 63-137 (B),clean,100800.0,8.34,1.494,0.0295,0.005349999999999999
vol1,FX 63-137 (B),clean,100800.0,9.72,1.599,0.0293,0.0023
vol1,FX 63-137 (B),clean,100800.0,10.57,1.654,0.0316,0.003749999999999998
vol1,FX 63-137 (B),clean,100800.0,11.44,1.697,0.0349,0.0063500000000000015
vol1,FX 63-137 (B),clean,100800.0,13.0,1.738,0.0443,0.0045000000000000005
vol1,FX 63-137 (B),clean,201100.0,-5.79,0.142,0.0259,0.0009500000000000012
vol1,FX 63-137 (B),clean,201100.0,-4.73,0.261,0.0195,0.0008500000000000001
vol1,FX 63-137 (B),clean,201100.0,-3.65,0.376,0.0168,0.00045000000000000075
vol1,FX 63-137 (B),clean,201100.0,-2.54,0.507,0.0147,0.0003500000000000005
vol1,FX 63-137 (B),clean,201100.0,-1.61,0.603,0.0149,0.0003499999999999996
vol1,FX 63-137 (B),clean,201100.0,-0.42,0.726,0.0161,0.0006999999999999992
vol1,FX 63-137 (B),clean,201100.0,0.87,0.859,0.0169,0.0010499999999999989
vol1,FX 63-137 (B),clean,201100.0,1.42,0.914,0.0169,0.0010000000000000009
vol1,FX 63-137 (B),clean,201100.0,2.63,1.035,0.0175,0.000700000000000001
vol1,FX 63-137 (B),clean,201100.0,3.99,1.172,0.0175,0.0005999999999999998
vol1,FX 63-137 (B),clean,201100.0,4.67,1.232,0.0173,0.0002999999999999999
vol1,FX 63-137 (B),clean,201100.0,5.89,1.342,0.0171,0.0002500000000000002
vol1,FX 63-137 (B),clean,201100.0,6.78,1.43,0.0177,0.00040000000000000105
vol1,FX 63-137 (B),clean,201100.0,8.29,1.555,0.0189,0.0005000000000000004
vol1,FX 63-137 (B),clean,201100.0,9.14,1.616,0.0206,9.99999999999994e-05
vol1,FX 63-137 (B),clean,201100.0,10.51,1.69,0.0245,0.000449999999999999
vol1,FX 63-137 (B),clean,201100.0,10.7,1.697,0.0256,0.0002500000000000002
vol1,FX 63-137 (B),clean,201100.0,11.97,1.728,0.0316,0.0014500000000000016
vol1,FX 63-137 (B),clean,201100.0,12.86,1.731,0.0395,0.008299999999999998
vol1,FX 63-137 (B),clean,251600.0,-6.29,0.084,0.0307,0.0017000000000000019
vol1,FX 63-137 (B),clean,251600.0,-4.91,0.238,0.0178,0.0012499999999999994
vol1,FX 63-137 (B),clean,251600.0,-3.87,0.353,0.0152,0.0006000000000000007
vol1,FX 63-137 (B),clean,251600.0,-2.74,0.481,0.0128,4.99999999999997e-05
vol1,FX 63-137 (B),clean,251600.0,-1.81,0.586,0.0128,0.00019999999999999966
vol1,FX 63-137 (B),clean,251600.0,-0.74,0.695,0.0134,0.0005999999999999998
vol1,FX 63-137 (B),clean,251600.0,0.24,0.794,0.014,0.001
vol1,FX 63-137 (B),clean,251600.0,1.25,0.892,0.0145,0.0009499999999999995
vol1,FX 63-137 (B),clean,251600.0,2.34,1.005,0.0149,0.0007000000000000001
vol1,FX 63-137 (B),clean,251600.0,3.37,1.108,0.0151,0.000449999999999999
vol1,FX 63-137 (B),clean,251600.0,4.34,1.201,0.0154,0.0003999999999999993
vol1,FX 63-137 (B),clean,251600.0,5.36,1.293,0.0154,0.0006000000000000007
vol1,FX 63-137 (B),clean,251600.0,6.49,1.39,0.0156,0.0005000000000000004
vol1,FX 63-137 (B),clean,251600.0,7.5,1.478,0.0163,0.0005500000000000001
vol1,FX 63-137 (B),clean,251600.0,8.33,1.539,0.0174,0.00045000000000000075
vol1,FX 63-137 (B),clean,251600.0,9.5,1.616,0.0202,0.00045000000000000075
vol1,FX 63-137 (B),clean,251600.0,10.51,1.672,0.0231,0.0005000000000000004
vol1,FX 63-137 (B),clean,251600.0,11.6,1.71,0.0285,0.0017499999999999998
vol1,FX 63-137 (B),clean,302300.0,-5.82,0.142,0.0201,0.0014000000000000002
vol1,FX 63-137 (B),clean,302300.0,-4.86,0.247,0.0161,0.0014000000000000002
vol1,FX 63-137 (B),clean,302300.0,-3.85,0.36,0.014,0.0007000000000000001
vol1,FX 63-137 (B),clean,302300.0,-2.79,0.479,0.012,0.00020000000000000052
vol1,FX 63-137 (B),clean,302300.0,-1.74,0.599,0.0116,0.00014999999999999996
vol1,FX 63-137 (B),clean,302300.0,-0.71,0.706,0.012,0.0005000000000000004
vol1,FX 63-137 (B),clean,302300.0,0.33,0.811,0.0125,0.001
vol1,FX 63-137 (B),clean,302300.0,1.34,0.914,0.0131,0.00115
vol1,FX 63-137 (B),clean,302300.0,2.35,1.018,0.0134,0.0008500000000000001
vol1,FX 63-137 (B),clean,302300.0,3.36,1.118,0.0136,0.0004000000000000002
vol1,FX 63-137 (B),clean,302300.0,4.45,1.232,0.0139,0.0004000000000000002
vol1,FX 63-137 (B),clean,302300.0,5.46,1.324,0.0145,0.0006000000000000007
vol1,FX 63-137 (B),clean,302300.0,6.42,1.398,0.0144,0.00045000000000000075
vol1,FX 63-137 (B),clean,302300.0,7.49,1.487,0.0153,0.000550000000000001
vol1,FX 63-137 (B),clean,302300.0,8.52,1.559,0.017,0.0007500000000000007
vol1,FX 63-137 (B),clean,302300.0,9.57,1.626,0.0196,0.0008500000000000001
vol1,FX 63-137 (B),clean,302300.0,10.55,1.676,0.0227,0.0008999999999999998
vol1,FX 63-137 (B),clean,302300.0,11.53,1.708,0.0277,0.00255
vol1,FX 74-CL5-140 MOD,clean,199400.0,-1.8,0.611,0.0379,0.0011499999999999982
vol1,FX 74-CL5-140 MOD,clean,199400.0,-0.47,0.859,0.0258,0.00145
vol1,FX 74-CL5-140 MOD,clean,199400.0,1.2,1.049,0.0223,0.0016000000000000007
vol1,FX 74-CL5-140 MOD,clean,199400.0,2.71,1.2,0.0211,0.0007500000000000007
vol1,FX 74-CL5-140 MOD,clean,199400.0,4.25,1.347,0.0234,0.00115
vol1,FX 74-CL5-140 MOD,clean,199400.0,5.6,1.468,0.0253,0.0008000000000000004
vol1,FX 74-CL5-140 MOD,clean,199400.0,7.42,1.622,0.0285,0.0008500000000000001
vol1,FX 74-CL5-140 MOD,clean,199400.0,9.05,1.749,0.0318,0.0009000000000000015
vol1,FX 74-CL5-140 MOD,clean,199400.0,10.48,1.85,0.0351,0.0005499999999999984
vol1,GEMINI,clean,101600.0,-7.01,-0.505,0.0276,0.0031000000000000003
vol1,GEMINI,clean,101600.0,-3.28,-0.073,0.0154,0.0028000000000000004
vol1,GEMINI,clean,101600.0,-2.71,-0.027,0.0167,0.0025499999999999993
vol1,GEMINI,clean,101600.0,-1.08,0.099,0.0166,0.0016999999999999993
vol1,GEMINI,clean,101600.0,0.56,0.356,0.0194,0.006
vol1,GEMINI,clean,101600.0,2.08,0.501,0.0175,0.0024000000000000002
vol1,GEMINI,clean,101600.0,3.64,0.622,0.0183,0.0012499999999999994
vol1,GEMINI,clean,101600.0,5.13,0.757,0.0224,0.0029499999999999995
vol1,GEMINI,clean,101600.0,6.44,0.864,0.0241,0.0048000000000000004
vol1,GEMINI,clean,101600.0,8.3,1.018,0.0263,0.0043500000000000014
vol1,GEMINI,clean,101600.0,9.63,1.126,0.027,0.004249999999999999
vol1,GEMINI,clean,101600.0,11.05,1.217,0.029,0.003299999999999999
vol1,GEMINI,clean,101600.0,12.66,1.202,0.0368,0.0091
vol1,GEMINI,clean,202800.0,-7.05,-0.38,0.0192,0.0026499999999999996
vol1,GEMINI,clean,202800.0,-5.6,-0.263,0.0148,0.0005499999999999993
vol1,GEMINI,clean,202800.0,-3.85,-0.134,0.0118,0.00145
vol1,GEMINI,clean,202800.0,-2.47,-0.022,0.0117,0.0028000000000000004
vol1,GEMINI,clean,202800.0,-1.14,0.101,0.0116,0.0032
vol1,GEMINI,clean,202800.0,0.38,0.248,0.0119,0.0020500000000000006
