"sweep_id","report","figure","airfoil","family","tc_percent","camber","Re","mach","transition","alpha_nominal","alpha_plotted","CL","CD","tier_source","tier_extraction","double_read","method","u_cd","u_M","mdd_rule","role","notes"
"H8-3F","TM-81927","8","0012","4-digit","12","0","3.0e6","0.301","fixed","-0.14","-0.14","0","0.00900","","A","TRUE","marker-machine+shape","0.0002","0.003","","holdout","circle glyph confirmed visually at low-M tail"
"H8-3F","TM-81927","8","0012","4-digit","12","0","3.0e6","0.457","fixed","-0.14","-0.14","0","0.00906","","A","FALSE","marker-machine","0.0002","0.003","","holdout","on circle plateau track x1220"
"H8-3F","TM-81927","8","0012","4-digit","12","0","3.0e6","0.489","fixed","-0.14","-0.14","0","0.00914","","A","FALSE","marker-machine","0.0002","0.003","","holdout",
"H8-3F","TM-81927","8","0012","4-digit","12","0","3.0e6","0.519","fixed","-0.14","-0.14","0","0.00915","","A","FALSE","marker-machine","0.0002","0.003","","holdout",
"H8-3F","TM-81927","8","0012","4-digit","12","0","3.0e6","0.569","fixed","-0.14","-0.14","0","0.00913","","A","FALSE","marker-machine","0.0002","0.003","","holdout",
"H8-3F","TM-81927","8","0012","4-digit","12","0","3.0e6","0.705","fixed","-0.14","-0.14","0","0.00975","","B","FALSE","line-trace","0.0003","0.004","","holdout","plateau line no discrete marker resolved"
"H8-3F","TM-81927","8","0012","4-digit","12","0","3.0e6","0.730","fixed","-0.14","-0.14","0","0.00980","","B","FALSE","line-trace","0.0003","0.004","","holdout",
"H8-3F","TM-81927","8","0012","4-digit","12","0","3.0e6","0.755","fixed","-0.14","-0.14","0","0.01018","","B","FALSE","line-trace","0.0004","0.005","","holdout","entering knee"
"H8-3F","TM-81927","8","0012","4-digit","12","0","3.0e6","0.790","fixed","-0.14","-0.14","0","0.01210","","C","FALSE","band-strand","0.0008","0.006","","holdout","knee band; strand assignment by continuity only"
"H8-3F","TM-81927","8","0012","4-digit","12","0","3.0e6","0.818","fixed","-0.14","-0.14","0","0.02070","","A","TRUE","marker-machine+shape","0.0003","0.004","","holdout","circle glyphs confirmed in knee crop"
"H8-3F","TM-81927","8","0012","4-digit","12","0","3.0e6","0.830","fixed","-0.14","-0.14","0","0.02900","","B","FALSE","line-trace","0.0006","0.005","","holdout",
"H8-3F","TM-81927","8","0012","4-digit","12","0","3.0e6","0.840","fixed","-0.14","-0.14","0","0.03110","","A","TRUE","marker-machine+shape","0.0002","0.003","","holdout","circle endpoint confirmed visually"
"H8-6F","TM-81927","8","0012","4-digit","12","0","6.0e6","0.358","fixed","-0.14","-0.14","0","0.00791","","A","FALSE","marker-machine","0.0003","0.003","","holdout","on square plateau track x1265; glyph partly saturated"
"H8-6F","TM-81927","8","0012","4-digit","12","0","6.0e6","0.403","fixed","-0.14","-0.14","0","0.00790","","A","FALSE","marker-machine","0.0003","0.003","","holdout",
"H8-6F","TM-81927","8","0012","4-digit","12","0","6.0e6","0.460","fixed","-0.14","-0.14","0","0.00800","","B","FALSE","line-trace","0.0003","0.004","","holdout","square track continuous; markers merged with line"
"H8-6F","TM-81927","8","0012","4-digit","12","0","6.0e6","0.520","fixed","-0.14","-0.14","0","0.00805","","B","FALSE","line-trace","0.0003","0.004","","holdout",
"H8-6F","TM-81927","8","0012","4-digit","12","0","6.0e6","0.580","fixed","-0.14","-0.14","0","0.00810","","B","FALSE","line-trace","0.0003","0.004","","holdout",
