entry,Re,alpha,zCD_oof,dCL_oof
stec8|AQUILA,59400,-1.86,-0.19748,0.10308
stec8|AQUILA,59400,-0.83,-0.09573,0.08448
stec8|AQUILA,59400,0.18,-0.04166,0.03352
stec8|AQUILA,59400,1.2,-0.02474,0.00134
stec8|AQUILA,59400,2.23,-0.02267,-0.02237
stec8|AQUILA,59400,3.23,-0.01622,-0.02930
stec8|AQUILA,59400,4.26,-0.01620,-0.04280
stec8|AQUILA,59400,5.27,-0.01359,-0.05728
stec8|AQUILA,59400,6.28,-0.02245,-0.08590
stec8|AQUILA,59400,7.3,-0.01079,-0.11408
stec8|AQUILA,59400,8.33,-0.01388,-0.11408
stec8|AQUILA,59400,9.34,-0.00567,-0.09976
stec8|AQUILA,59400,10.34,-0.15894,-0.10624
stec8|AQUILA,101100,-1.86,-0.07635,-0.00347
stec8|AQUILA,101100,-0.84,-0.04247,-0.03045
stec8|AQUILA,101100,0.18,-0.00452,-0.05591
stec8|AQUILA,101100,1.21,0.01331,-0.06192
stec8|AQUILA,101100,2.22,0.02940,-0.07104
stec8|AQUILA,101100,3.24,0.03427,-0.08509
stec8|AQUILA,101100,4.27,0.03455,-0.08836
stec8|AQUILA,101100,5.28,0.03294,-0.09433
stec8|AQUILA,101100,6.29,0.03083,-0.09982
stec8|AQUILA,101100,7.33,0.03172,-0.10034
stec8|AQUILA,101100,8.33,0.03398,-0.09357
stec8|AQUILA,101100,9.35,0.03824,-0.09818
stec8|AQUILA,101100,10.36,0.02129,-0.09782
stec8|AQUILA,101100,11.36,0.08280,-0.10486
stec8|AQUILA,150500,1.19,0.02746,-0.05386
stec8|AQUILA,150500,3.24,0.04202,-0.07448
stec8|AQUILA,150500,5.28,0.03779,-0.08277
stec8|AQUILA,150500,7.32,0.03905,-0.08634
stec8|AQUILA,150500,8.34,0.04549,-0.07985
stec8|AQUILA,150500,9.36,0.05062,-0.08073
stec8|AQUILA,150500,11.37,0.11150,-0.07887
stec8|AQUILA,203900,-1.89,-0.05164,-0.04138
stec8|AQUILA,203900,-0.85,-0.03621,-0.04473
stec8|AQUILA,203900,0.17,0.01597,-0.05685
stec8|AQUILA,203900,1.19,0.04637,-0.05904
stec8|AQUILA,203900,2.22,0.05744,-0.06504
stec8|AQUILA,203900,3.26,0.06198,-0.07744
stec8|AQUILA,203900,4.26,0.05494,-0.08032
stec8|AQUILA,203900,5.28,0.05129,-0.08600
stec8|AQUILA,203900,6.31,0.05143,-0.08843
stec8|AQUILA,203900,7.32,0.04779,-0.08946
stec8|AQUILA,203900,8.34,0.05212,-0.08001
stec8|AQUILA,203900,9.35,0.06092,-0.08299
stec8|AQUILA,203900,10.37,0.07599,-0.08802
stec8|AQUILA,203900,11.35,0.14863,-0.09297
stec8|AQUILA,301100,-3.93,-0.19221,-0.00861
stec8|AQUILA,301100,-2.91,-0.08438,-0.03115
stec8|AQUILA,301100,-1.87,-0.01711,-0.04575
stec8|AQUILA,301100,-0.89,-0.01911,-0.05407
stec8|AQUILA,301100,0.14,0.02514,-0.05317
stec8|AQUILA,301100,1.13,0.05031,-0.05940
stec8|AQUILA,301100,2.18,0.06674,-0.06493
stec8|AQUILA,301100,3.21,0.06236,-0.07734
stec8|AQUILA,301100,4.23,0.07082,-0.08038
stec8|AQUILA,301100,5.28,0.06950,-0.08738
stec8|AQUILA,301100,6.3,0.06534,-0.08948
stec8|AQUILA,301100,7.32,0.06193,-0.09327
stec8|CLARK-Y,61300,-3.95,-0.12297,0.14962
stec8|CLARK-Y,61300,-2.92,-0.13723,0.13553
stec8|CLARK-Y,61300,-1.9,-0.11343,0.13044
stec8|CLARK-Y,61300,-0.88,-0.10626,0.06946
stec8|CLARK-Y,61300,0.15,-0.02620,0.02418
stec8|CLARK-Y,61300,1.18,-0.02433,-0.02030
stec8|CLARK-Y,61300,2.2,-0.02239,-0.05177
stec8|CLARK-Y,61300,3.24,-0.01326,-0.07811
stec8|CLARK-Y,61300,4.26,0.00444,-0.09144
