airfoil,Re,alpha,xfoil_converged,CL_xfoil,CD_xfoil,CL_nf,CD_nf,CD_spread5_counts
goe379,5000000.0,-2.0,1,0.2518,0.00617,0.2531290948418126,0.006155077327293101,0.6904087242061689
goe379,5000000.0,0.0,1,0.4643,0.00572,0.4660966809071548,0.005729178814027713,2.614777464754678
goe379,5000000.0,2.0,1,0.6767,0.00612,0.6772165054904622,0.005887352972831966,1.8145580354098338
goe379,5000000.0,6.0,0,,,1.1582075604267894,0.0073657371328846154,6.545542642359394
goe379,5000000.0,10.0,0,,,1.4829625874107526,0.013583793948252825,5.200509787318102
s9027,200000.0,-2.0,1,-0.2851,0.00836,-0.2738762515113466,0.008451347834128944,17.82605455050289
s9027,200000.0,0.0,1,-0.0,0.00803,3.3306690738754696e-16,0.008074422991633213,13.936001985657194
s9027,200000.0,2.0,1,0.2851,0.00836,0.2738762515113463,0.008451347834128951,17.8260545505028
s9027,200000.0,6.0,1,0.6508,0.01642,0.6556386220798791,0.016409223680527676,21.751920814029152
s9027,200000.0,10.0,1,0.7718,0.05584,0.8061838267202561,0.07132827136222426,200.39217837608265
dga1138,5000000.0,-2.0,0,,,0.12308892758538503,0.005378290222863087,3.08387359817466
dga1138,5000000.0,0.0,1,0.3386,0.00736,0.3425169038416865,0.005732470406030595,2.2148926161560425
dga1138,5000000.0,2.0,1,0.5611,0.00751,0.5545177757058586,0.005596249343928345,5.899882722450265
dga1138,5000000.0,6.0,0,,,0.997179695817129,0.00985290824827121,10.139563741076804
dga1138,5000000.0,10.0,1,1.3876,0.01438,1.3165314958516567,0.023496937147436014,79.76918638350675
s9027,1000000.0,-2.0,1,-0.2192,0.00568,-0.2269348769418339,0.005659689497155721,8.765884383333272
s9027,1000000.0,0.0,1,0.0,0.0048,2.220446049250313e-16,0.004769519433235588,9.639695418012309
s9027,1000000.0,2.0,1,0.2192,0.00568,0.2269348769418344,0.005659689497155721,8.765884383333221
s9027,1000000.0,6.0,1,0.6724,0.00936,0.6718891843795741,0.009511164137110992,4.799918771095559
s9027,1000000.0,10.0,1,1.0536,0.01769,1.058188405708637,0.017264411719546992,3.045983902690737
goe124,200000.0,-2.0,1,0.3293,0.02517,0.33054424576586516,0.026391777386200393,29.661934899103404
goe124,200000.0,0.0,1,0.5778,0.01606,0.5746279523054899,0.014771695011511989,5.373564334472912
goe124,200000.0,2.0,1,0.807,0.01341,0.7930680861155173,0.01111116964240226,8.765860776401603
goe124,200000.0,6.0,1,1.2298,0.01449,1.2299227498902026,0.01465544699976452,1.4262964175717172
